24.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 8.83e+04 -nan 8.83e+04 88341.68 49.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
25.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 7.51e+04 -nan 7.51e+04 75123.98 50.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
25.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 6.38e+04 -nan 6.38e+04 63794.22 51.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
26.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 5.41e+04 -nan 5.41e+04 54099.83 52.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
26.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 4.58e+04 -nan 4.58e+04 45818.73 53.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
27.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 3.88e+04 -nan 3.88e+04 38756.31 54.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
27.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 3.27e+04 -nan 3.27e+04 32742.57 55.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
28.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 2.76e+04 -nan 2.76e+04 27629.42 56.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
28.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 2.33e+04 -nan 2.33e+04 23288.21 57.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
29.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.96e+04 -nan 1.96e+04 19607.50 58.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
